year,section,min_date,max_date
1937,121,0,0
1938,121,1938-02-25,1938-02-25
1939,121,1939-02-17,1939-02-17
1940,121,0,0
1941,121,0,0
1942,121,0,0
1943,121,0,0
1944,121,0,0
1945,121,0,0
1946,121,0,0
1947,121,0,0
1948,121,1948-03-30,1948-03-30
1949,121,0,0
1950,121,0,0
1951,121,0,0
1952,121,0,0
1953,121,0,0
1954,121,0,0
1955,121,0,0
1956,121,0,0
1957,121,0,0
1958,121,1958-04-23,1958-04-23
1959,121,0,0
1960,121,1960-04-20,1960-04-20
1961,121,0,0
1962,121,0,0
1963,121,0,0
1964,121,0,0
1965,121,0,0
1966,121,0,0
1967,121,0,0
1968,121,0,0
1969,121,0,0
1970,121,0,0
1971,121,0,0
1972,121,0,0
1973,121,0,0
1974,121,0,0
1975,121,0,0
1976,121,0,0
1977,121,0,0
1978,121,0,0
1979,121,1979-04-12,1979-04-12
1980,121,1980-04-05,1980-04-20
1981,121,0,0
1982,121,0,0
1983,121,0,0
1984,121,0,0
1985,121,0,0
1986,121,0,0
1937,122,0,0
1938,122,0,0
1939,122,1939-03-27,1939-03-27
1940,122,1940-03-16,1940-04-12
1941,122,1941-03-03,1941-04-20
1942,122,1942-03-18,1942-04-19
1943,122,1943-03-18,1943-04-12
1944,122,1944-03-16,1944-04-08
1945,122,1945-03-10,1945-04-10
1946,122,1946-03-22,1946-04-14
1947,122,1947-03-22,1947-04-14
1948,122,1948-04-28,1948-04-28
1949,122,1949-04-08,1949-04-23
1950,122,1950-03-28,1950-04-23
1951,122,1951-04-15,1951-04-25
1952,122,1952-03-12,1952-04-23
1953,122,1953-03-28,1953-04-09
1954,122,1954-03-15,1954-04-16
1955,122,1955-04-04,1955-04-04
1956,122,1956-04-02,1956-04-22
1957,122,1957-03-30,1957-04-19
1958,122,1958-03-30,1958-05-02
1959,122,1959-03-13,1959-05-04
1960,122,1960-04-04,1960-04-15
1961,122,1961-03-21,1961-03-25
1962,122,1962-04-01,1962-04-02
