"Double 
Checked?",survey_date,spawn_start_date,spawn_end_date,region,side,map#,point_id,location,weather,time_start,time_end,tide_time_start ,tide_time_end,tide_start,tide_end,method,water_conditions,max_vert_visibility_m,sea_conditions,length_m,average_width_m,grass_layers,grass_%substrate,RW_layers,RW_%substrate,kelp_layers,kelp_%substrate,BA_layers,BA_%substrate,LR_layers,LR_%substrate,SR_layers,SR_%substrate,RK_layers,RK_%substrate,O,O_%substrate,Other substrate details ,estimated%_of_spawn_area_bare,notes,Source
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S1,,,,,,,,,,,,,160,3,,,2.5,0.8,,,,,,,,,1,0.2,,,,0.05,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S2,,,,,,,,,,,,,190,6,,,4,0.8,,,,,,,,,2,0.2,,,,0.05,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S3,,,,,,,,,,,,,80,2,,,1,0.8,,,,,,,,,1,0.1,,,,0.1,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S4,,,,,,,,,,,,,75,2,,,0.5,0.9,,,,,,,,,1,0.1,,,,0.15,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S5,,,,,,,,,,,,,115,4,,,2.5,0.9,,,,,,,,,1.5,0.1,,,,0.05,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S6,,,,,,,,,,,,,146,7,,,3,0.95,,,,,,,,,1.5,0.05,,,,0.05,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S7,,,,,,,,,,,,,247,5,,,2.5,0.9,,,,,,,,,1,0.05,,,,0.05,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S8,,,,,,,,,,,,,353,6,,,2,0.9,,,,,,,,,1,0.1,,,,0.15,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S9,,,,,,,,,,,,,163,2,,,3,0.95,,,,,,,,,1,0.05,,,,0.15,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S10,,,,,,,,,,,,,80,3,,,1.5,0.95,,,,,,,,,1,0.05,,,,0.1,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S11,,,,,,,,,,,,,210,10,,,4,0.95,,,,,,,,,2,0.05,,,,0.05,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S12,,,,,,,,,,,,,220,6,,,5,0.9,,,,,,,,,2,0.1,,,,0.05,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S13,,,,,,,,,,,,,89,15,,,4,0.95,,,,,,,,,2,0.05,,,,0.05,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S14,,,,,,,,,,,,,160,6,,,3.5,0.8,,,3,0.1,,,,,1.5,0.1,,,,0.05,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S15,,,,,,,,,,,,,246,3.5,,,1.5,0.8,,,1,0.15,,,,,1,0.05,,,,0.2,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S16,,,,,,,,,,,,,280,20,1.5,0.3,1.5,0.6,,,,,,,,,1,0.05,1,0.05,wood ,0.3,,
TRUE,3/25/1994,3/21/1994,3/23/1994,Thompson Sound,southside ,,S17,,,,,,,,,,,,,756,25,1,,1,0.65,,,,,,,,,1,0.05,,,,0.2,,
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-1,,,,,,,,,,,,,231,6,,,1.3,0.7,,,1,0.1,,,,,1,0.15,1,0.05,,0.1,,
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-2,,,,,,,,,,,,,69,3,,,1,0.7,,,0.5,0.2,,,,,1,0.1,,,,0.2,,
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-3,,,,,,,,,,,,,190,2,,,1.2,0.7,,,1,0.2,,,,,1,0.1,,,,0.1,,
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-4,,,,,,,,,,,,,106,4,,,2,0.8,,,,,,,,,1,0.2,,,,0.1,,
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-5,,,,,,,,,,,,,262,3,,,1,0.8,,,,,,,,,1,0.2,,,,0.2,river boundary ,
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-6,,,,,,,,,,,,,184,2,,,2,0.8,,,,,,,,,1,0.2,,,,0.1,ribben,
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-7,,,,,,,,,,,,,176,3,,,2.5,0.9,,,,,,,,,1,0.1,,,,0.1,,
